date,personnel
2022/2/25,2800
2022/2/26,4300
2022/2/27,4500
2022/2/28,5300
2022/3/1,5710
2022/3/2,5840
2022/3/3,9000
2022/3/4,9166
2022/3/5,10000
2022/3/6,11000
2022/3/7,11000
2022/3/8,12000
2022/3/9,12000
2022/3/10,12000
2022/3/11,12000
2022/3/12,12000
2022/3/13,12000
2022/3/14,12000
2022/3/15,13500
2022/3/16,13800
2022/3/17,14000
2022/3/18,14200
2022/3/19,14400
2022/3/20,14700
2022/3/21,15000
2022/3/22,15300
2022/3/23,15600
2022/3/24,15800
2022/3/25,16100
2022/3/26,16400
2022/3/27,16600
2022/3/28,17000
2022/3/29,17200
2022/3/30,17300
2022/3/31,17500
2022/4/1,17700
2022/4/2,17700
2022/4/3,18000
2022/4/4,18300
2022/4/5,18500
2022/4/6,18600
2022/4/7,18900
2022/4/8,19000
2022/4/9,19100
2022/4/10,19300
2022/4/11,19500
2022/4/12,19600
2022/4/13,19800
2022/4/14,19900
2022/4/15,20000
2022/4/16,20100
2022/4/17,20300
2022/4/18,20600
2022/4/19,20800
2022/4/20,20900
2022/4/21,21000
2022/4/22,21200
2022/4/23,21600
2022/4/24,21800
2022/4/25,21900
2022/4/26,22100
2022/4/27,22400
2022/4/28,22800
2022/4/29,23000
